央视频道,#genre#
CCTV1,http://iptv.887979.xyz/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV2,http://iptv.887979.xyz/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV3,http://iptv.887979.xyz/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV4,http://iptv.887979.xyz/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV5,http://iptv.887979.xyz/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV5+,http://iptv.887979.xyz/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV6,http://iptv.887979.xyz/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV7,http://iptv.887979.xyz/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV8,http://iptv.887979.xyz/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV9,http://iptv.887979.xyz/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV10,http://iptv.887979.xyz/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV11,http://iptv.887979.xyz/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV12,http://iptv.887979.xyz/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV13,http://iptv.887979.xyz/itv/5000000011000031108.m3u8?cdn=bestzb
CCTV14,http://iptv.887979.xyz/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV15,http://iptv.887979.xyz/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV16,http://iptv.887979.xyz/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV17,http://iptv.887979.xyz/itv/1000000005000265015.m3u8?cdn=ystenlive
CETV1,http://iptv.887979.xyz/itv/5000000002000002652.m3u8?cdn=bestzb
CETV4,http://iptv.887979.xyz/itv/5000000011000031126.m3u8?cdn=bestzb
CGTN,http://iptv.887979.xyz/itv/7745129417417101820.m3u8?cdn=hnbblive
CGTN纪录,http://iptv.887979.xyz/itv/7114647837765104058.m3u8?cdn=hnbblive

卫视频道,#genre#
湖南卫视,http://iptv.887979.xyz/itv/1000000005000265024.m3u8?cdn=ystenlive
浙江卫视,http://iptv.887979.xyz/itv/1000000005000265031.m3u8?cdn=ystenlive
江苏卫视,http://iptv.887979.xyz/itv/1000000005000265030.m3u8?cdn=ystenlive
北京卫视,http://iptv.887979.xyz/itv/1000000005000265027.m3u8?cdn=ystenlive
东方卫视,http://iptv.887979.xyz/itv/1000000005000265018.m3u8?cdn=ystenlive
安徽卫视,http://iptv.887979.xyz/itv/1000000005000265025.m3u8?cdn=ystenlive
广东卫视,http://iptv.887979.xyz/itv/1000000005000265034.m3u8?cdn=ystenlive
深圳卫视,http://iptv.887979.xyz/itv/1000000005000265028.m3u8?cdn=ystenlive
湖北卫视,http://iptv.887979.xyz/itv/1000000005000265023.m3u8?cdn=ystenlive
江西卫视,http://iptv.887979.xyz/itv/1000000005000265032.m3u8?cdn=ystenlive
河南卫视,http://iptv.887979.xyz/itv/5000000011000031119.m3u8?cdn=bestzb
