央视频道,#genre#
CCTV1,http://148.135.93.213:81/live.php?id=CCTV1
CCTV2,http://148.135.93.213:81/live.php?id=CCTV2
CCTV3,http://148.135.93.213:81/live.php?id=CCTV3
CCTV4,http://148.135.93.213:81/live.php?id=CCTV4
CCTV5,http://148.135.93.213:81/live.php?id=CCTV5
CCTV5+,http://148.135.93.213:81/live.php?id=CCTV5p
CCTV6,http://148.135.93.213:81/live.php?id=CCTV6
CCTV7,http://148.135.93.213:81/live.php?id=CCTV7
CCTV8,http://148.135.93.213:81/live.php?id=CCTV8
CCTV9,http://148.135.93.213:81/live.php?id=CCTV9
CCTV10,http://148.135.93.213:81/live.php?id=CCTV10
CCTV11,http://148.135.93.213:81/live.php?id=CCTV11
CCTV12,http://148.135.93.213:81/live.php?id=CCTV12
CCTV13,http://148.135.93.213:81/live.php?id=CCTV13
CCTV14,http://148.135.93.213:81/live.php?id=CCTV14
CCTV15,http://148.135.93.213:81/live.php?id=CCTV15
CCTV16,http://148.135.93.213:81/live.php?id=CCTV16
CCTV17,http://148.135.93.213:81/live.php?id=CCTV17
重温经典,http://148.135.93.213:81/live.php?id=重温经典
CHC家庭影院,http://148.135.93.213:81/live.php?id=CHC家庭影院
CHC动作电影,http://148.135.93.213:81/live.php?id=CHC动作电影
CGTN,http://felix365.us.kg/itv/7745129417417101820.m3u8?cdn=hnbblive
CGTN纪录,http://felix365.us.kg/itv/7114647837765104058.m3u8?cdn=hnbblive

卫视频道,#genre#
浙江卫视,http://148.135.93.213:81/live.php?id=浙江卫视
江苏卫视,http://148.135.93.213:81/live.php?id=江苏卫视
北京卫视,http://148.135.93.213:81/live.php?id=北京卫视
湖南卫视,http://felix365.us.kg/itv/1000000001000009115.m3u8?cdn=ystenlive
东方卫视,http://felix365.us.kg/itv/1000000001000030202.m3u8?cdn=ystenlive
安徽卫视,http://felix365.us.kg/itv/1000000001000020780.m3u8?cdn=ystenlive
广东卫视,http://felix365.us.kg/itv/1000000001000028357.m3u8?cdn=ystenlive
深圳卫视,http://felix365.us.kg/itv/1000000001000011645.m3u8?cdn=ystenlive
湖北卫视,http://felix365.us.kg/itv/1000000001000010355.m3u8?cdn=ystenlive
江西卫视,http://felix365.us.kg/itv/1000000001000013731.m3u8?cdn=ystenlive
河南卫视,http://felix365.us.kg/itv/1000000002000027731.m3u8?cdn=ystenlive
河北卫视,http://felix365.us.kg/itv/1000000002000017118.m3u8?cdn=ystenlive
山东卫视,http://felix365.us.kg/itv/1000000001000012807.m3u8?cdn=ystenlive
天津卫视,http://felix365.us.kg/itv/1000000001000000831.m3u8?cdn=ystenlive
四川卫视,http://felix365.us.kg/itv/1000000002000016825.m3u8?cdn=ystenlive
重庆卫视,http://felix365.us.kg/itv/1000000002000018937.m3u8?cdn=ystenlive
东南卫视,http://felix365.us.kg/itv/1000000002000009263.m3u8?cdn=ystenlive
广西卫视,http://felix365.us.kg/itv/1000000002000019837.m3u8?cdn=ystenlive
云南卫视,http://felix365.us.kg/itv/1000000002000024694.m3u8?cdn=ystenlive
海南卫视,http://felix365.us.kg/itv/1000000002000023773.m3u8?cdn=ystenlive
贵州卫视,http://felix365.us.kg/itv/1000000002000003169.m3u8?cdn=ystenlive
陕西卫视,http://felix365.us.kg/itv/1000000002000007495.m3u8?cdn=ystenlive
甘肃卫视,http://felix365.us.kg/itv/1000000002000017827.m3u8?cdn=ystenlive
青海卫视,http://felix365.us.kg/itv/1000000002000013359.m3u8?cdn=ystenlive
黑龙江卫视,http://felix365.us.kg/itv/1000000001000009082.m3u8?cdn=ystenlive
吉林卫视,http://felix365.us.kg/itv/1000000002000027730.m3u8?cdn=ystenlive
辽宁卫视,http://felix365.us.kg/itv/1000000002000024033.m3u8?cdn=ystenlive
延边卫视,http://felix365.us.kg/itv/1000000005000266008.m3u8?cdn=ystenlive
山西卫视,http://felix365.us.kg/itv/1000000002000021220.m3u8?cdn=ystenlive
宁夏卫视,http://felix365.us.kg/itv/1000000002000031451.m3u8?cdn=ystenlive
新疆卫视,http://felix365.us.kg/itv/1000000002000029441.m3u8?cdn=ystenlive
