4gtv,#genre#
民视台湾台,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv001
民视,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv002
民视第一台,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv003
民视综艺,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv004
猪哥亮歌厅秀,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv006
中天新闻,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv009
非凡新闻,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv010
影迷数位电影台,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv011
视纳华仁纪实频道,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv013
时尚运动X,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv014
GLOBAL-NEWS,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv016
AMC电影台,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv017
达文西,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv018
八大精彩台,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv034
八大综艺台,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv039
中视,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv040
华视,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv041
公视戏剧,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv042
客家电视台,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv043
靖天卡通台,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv044
靖洋戏剧台,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv045
靖天综合台,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv046
靖天日本台,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv047
非凡商业,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv048
采昌影剧,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv049
台视新闻,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv051
华视新闻,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv052
GINX Esports TV,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv053
Nice TV 靖天欢乐台,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv054
靖天映画,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv055
