港台频道,#genre#
凤凰资讯,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk
翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8
翡翠台,http://v2h.jdshipin.com/jade2/jade.stream/chunklist.m3u8
翡翠台,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
黄金翡翠台,http://aktv.top/AKTV/live/aktv/null-21/AKTV.m3u8
无线新闻台,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
明珠台,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8
TVB星河,http://aktv.top/AKTV/live/aktv2/tvb/AKTV.m3u8
TVB星河,https://v2h.jdshipin.com/xinghe_1/xinghe_1.stream/chunklist.m3u8
TVB星河,http://php.jdshipin.com:8880/PLTV/iptv.php?id=xinghe
TVB生活,http://v2h.jdshipin.com/finance2/finance2.stream/chunklis
TVBJ1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
Hoy 78,http://aktv.top/AKTV/live/aktv/hoy78/AKTV.m3u8
myTV SUPER 18台,http://aktv.top/AKTV/live/aktv/mytvsuper18/AKTV.m3u8
PopC,http://aktv.top/AKTV/live/aktv/popc/AKTV.m3u8
ROCK Action,http://aktv.top/AKTV/live/aktv/rockaction/AKTV.m3u8
TVB Plus,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8
TVB Plus,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8
TVB Plus,http://php.jdshipin.com:8880/PLTV/iptv.php?id=j2
TVB Plus,http://php.jdshipin.com:8880/TVOD/iptv.php?id=j2
viutv 99,http://aktv.top/AKTV/live/aktv2/viutv99/AKTV.m3u8
viutv6 96,http://aktv.top/AKTV/live/aktv2/viutv696/AKTV.m3u8
VIUTV,http://php.jdshipin.com:8880/PLTV/iptv.php?id=viutv
爆谷台,http://aktv.top/AKTV/live/aktv2/null/AKTV.m3u8
Now星影台,http://aktv.top/AKTV/live/aktv2/now/AKTV.m3u8
莲花卫视,http://php.jdshipin.com:8880/amlh.php
美亚电影台,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
美亚电影台,http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8
功夫台,http://v2h.jdshipin.com/asia_action1/1asia_action.stream/chunklist.m3u8
台视,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=4gtv-4gtv066
台视新闻,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=4gtv-4gtv051
中视,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8
中视,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=4gtv-4gtv040
中视新闻,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=4gtv-4gtv074
中天新闻台,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
中天新闻台,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=4gtv-4gtv009
中天亚洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
TVBS-新闻台,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
华视,http://aktv.top/AKTV/live/aktv/null-11/AKTV.m3u8
华视,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=4gtv-4gtv041
华视新闻,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=4gtv-4gtv052
寰宇新闻台,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8
寰宇新闻台,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=litv-longturn14
寰宇财经台,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=litv-longturn23
寰宇新闻台湾台,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=litv-longturn15
三立新闻iNEWS,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=iNEWS
倪珍播新闻,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=nnews-zh
倪珍英语新闻,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=nnews-en
好消息,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=litv-ftv16
好消息2台,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=litv-ftv17
亚洲旅游台,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=litv-longturn17
Smart知识台,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=litv-longturn19
ELTV生活英语台,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=litv-longturn20
龙华卡通台,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=litv-longturn01
台湾戏剧台,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=litv-longturn22
龙华戏剧台,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=litv-longturn18
龙华偶像台,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=litv-longturn12
龙华日韩台,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=litv-longturn11
龙华经典台,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=litv-longturn21
龙华电影台,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=litv-longturn03
东森购物1台,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=4gtv-4gtv102
东森购物2台,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=4gtv-4gtv103
第1商业台,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=4gtv-4gtv104
国会频道1台,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=4gtv-4gtv084
国会频道2台,https://dingyue.mytvsuper.xyz/oufei/ofiii_all.php?id=4gtv-4gtv085
