央视IPV4,#genre#
CCTV1,https://tv.iill.top/migu/cctv1
CCTV2,https://tv.iill.top/migu/cctv2
CCTV3,https://tv.iill.top/migu/cctv3
CCTV4,https://tv.iill.top/migu/cctv4
CCTV5,https://tv.iill.top/migu/cctv5
CCTV5+,https://tv.iill.top/migu/cctv5p
CCTV6,https://tv.iill.top/migu/cctv6
CCTV7,https://tv.iill.top/migu/cctv7
CCTV8,https://tv.iill.top/migu/cctv8
CCTV9,https://tv.iill.top/migu/cctv9
CCTV10,https://tv.iill.top/migu/cctv10
CCTV11,https://tv.iill.top/migu/cctv11
CCTV12,https://tv.iill.top/migu/cctv12
CCTV13,https://tv.iill.top/migu/cctv13
CCTV14,https://tv.iill.top/migu/cctv14
CCTV15,https://tv.iill.top/migu/cctv15
CCTV17,https://tv.iill.top/migu/cctv17

卫视IPV4,#genre#
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
江苏卫视,https://tv.iill.top/migu/jsws
江西卫视,https://tv.iill.top/migu/jxws
广东卫视,https://tv.iill.top/migu/gdws
陕西卫视,https://tv.iill.top/migu/sxws
湖北卫视,https://tv.iill.top/migu/hubws
海峡卫视,https://tv.iill.top/migu/hxws
