央视频道,#genre#
CCTV1,http://php.jdshipin.com/itv.php?id=1000000005000265001&cid=ystenlive
CCTV2,http://php.jdshipin.com/itv.php?id=1000000005000265002&cid=ystenlive
CCTV3,http://php.jdshipin.com/itv.php?id=1000000005000265003&cid=ystenlive
CCTV4,http://php.jdshipin.com/itv.php?id=1000000005000265004&cid=ystenlive
CCTV5,http://php.jdshipin.com/itv.php?id=1000000005000265005&cid=ystenlive
CCTV5+,http://php.jdshipin.com/itv.php?id=1000000005000265016&cid=ystenlive
CCTV6,http://php.jdshipin.com/itv.php?id=1000000005000265006&cid=ystenlive
CCTV7,http://php.jdshipin.com/itv.php?id=1000000005000265007&cid=ystenlive
CCTV8,http://php.jdshipin.com/itv.php?id=1000000005000265008&cid=ystenlive
CCTV9,http://php.jdshipin.com/itv.php?id=1000000005000265009&cid=ystenlive
CCTV10,http://php.jdshipin.com/itv.php?id=1000000005000265010&cid=ystenlive
CCTV11,http://php.jdshipin.com/itv.php?id=1000000005000265011&cid=ystenlive
CCTV12,http://php.jdshipin.com/itv.php?id=1000000005000265012&cid=ystenlive
CCTV13,http://php.jdshipin.com/itv.php?id=1000000002000021303&cid=ystenlive
CCTV14,http://php.jdshipin.com/itv.php?id=1000000005000265013&cid=ystenlive
CCTV15,http://php.jdshipin.com/itv.php?id=1000000005000265014&cid=ystenlive
CCTV16,http://php.jdshipin.com/itv.php?id=1000000006000233001&cid=ystenlive
CCTV17,http://php.jdshipin.com/itv.php?id=1000000005000265015&cid=ystenlive
CETV1,http://php.jdshipin.com/itv.php?id=5000000002000002652&cid=bestzb
CETV4,http://php.jdshipin.com/itv.php?id=5000000011000031126&cid=bestzb
CGTN,http://php.jdshipin.com/itv.php?id=7745129417417101820&cid=hnbblive
CGTN纪录,http://php.jdshipin.com/itv.php?id=7114647837765104058&cid=hnbblive

卫视频道,#genre#
浙江卫视,http://php.jdshipin.com/itv.php?id=1000000005000265031&cid=ystenlive
江苏卫视,http://php.jdshipin.com/itv.php?id=1000000005000265030&cid=ystenlive
北京卫视,http://php.jdshipin.com/itv.php?id=1000000005000265027&cid=ystenlive
湖南卫视,http://php.jdshipin.com/itv.php?id=1000000005000265024&cid=ystenlive
东方卫视,http://php.jdshipin.com/itv.php?id=1000000005000265018&cid=ystenlive
安徽卫视,http://php.jdshipin.com/itv.php?id=1000000005000265025&cid=ystenlive
