央视频道,#genre#
CCTV1,https://php.2025225.xyz/smart.php?id=cctv1
CCTV2,https://php.2025225.xyz/smart.php?id=cctv2
CCTV3,https://php.2025225.xyz/smart.php?id=cctv3
CCTV4,https://php.2025225.xyz/smart.php?id=cctv4
CCTV4,https://php.2025225.xyz/smart.php?id=Cctv4
CCTV5,https://php.2025225.xyz/smart.php?id=cctv5
CCTV5+,https://php.2025225.xyz/smart.php?id=cctv5plus
CCTV6,https://php.2025225.xyz/smart.php?id=cctv6
CCTV7,https://php.2025225.xyz/smart.php?id=cctv7
CCTV8,https://php.2025225.xyz/smart.php?id=cctv8hd
CCTV9,https://php.2025225.xyz/smart.php?id=cctv9hd
CCTV10,https://php.2025225.xyz/smart.php?id=cctv10hd
CCTV11,https://php.2025225.xyz/smart.php?id=cctv11
CCTV12,https://php.2025225.xyz/smart.php?id=cctv12
CCTV13,https://php.2025225.xyz/smart.php?id=cctv13
CCTV14,https://php.2025225.xyz/smart.php?id=cctv14
CCTV15,https://php.2025225.xyz/smart.php?id=cctv15
CGTN,https://php.2025225.xyz/smart.php?id=CGTN

卫视频道,#genre#
浙江卫视,https://php.2025225.xyz/smart.php?id=zhejiang_twn
江苏卫视,https://php.2025225.xyz/smart.php?id=jiangsu_twn
北京卫视,https://php.2025225.xyz/smart.php?id=beijing
湖南卫视,https://php.2025225.xyz/smart.php?id=hunan_twn
深圳卫视,https://php.2025225.xyz/smart.php?id=shenzhen
东南卫视,https://php.2025225.xyz/smart.php?id=fujian
南方卫视,https://php.2025225.xyz/smart.php?id=nanfang_twn
广东卫视,https://php.2025225.xyz/smart.php?id=guangdongweishi_twn
广东珠江,https://php.2025225.xyz/smart.php?id=zhujiang
广西卫视,https://php.2025225.xyz/smart.php?id=guangxi
湖北卫视,https://php.2025225.xyz/smart.php?id=hubei
四川卫视,https://php.2025225.xyz/smart.php?id=sichuan_twn
东方卫视,https://php.2025225.xyz/smart.php?id=dongfangweishi_twn

香港频道,#genre#
凤凰卫视,https://php.2025225.xyz/smart.php?id=phoenixtv_hd
凤凰资讯,https://php.2025225.xyz/smart.php?id=phoenixinfo_hd
凤凰香港,https://php.2025225.xyz/smart.php?id=hkphoenix_twn
翡翠台,https://php.2025225.xyz/smart.php?id=jade_twn
翡翠台2,https://php.2025225.xyz/smart.php?id=Jade_xue
iNews 新闻台,https://php.2025225.xyz/smart.php?id=inews_twn
TVBJ2,https://php.2025225.xyz/smart.php?id=j2_twn
TVB明珠台,https://php.2025225.xyz/smart.php?id=pearl_twn
HOY资讯台,https://php.2025225.xyz/smart.php?id=hoycaijing_twn
RHK31,https://php.2025225.xyz/smart.php?id=rhk31_twn
RHK32,https://php.2025225.xyz/smart.php?id=rhk32_twn
viutv,https://php.2025225.xyz/smart.php?id=viu1_twn
viutv6,https://php.2025225.xyz/smart.php?id=viusix_twn

台湾频道,#genre#
TVBS新闻,https://php.2025225.xyz/smart.php?id=tvbs_n
TVBS欢乐,https://php.2025225.xyz/smart.php?id=tvbshuanle_twn
TVBS,https://php.2025225.xyz/smart.php?id=tvbs
中天新闻台,https://php.2025225.xyz/smart.php?id=ctinews
中天娱乐台,https://php.2025225.xyz/smart.php?id=ctient
中天综合台,https://php.2025225.xyz/smart.php?id=ctizhonghe
中天亚洲台,https://php.2025225.xyz/smart.php?id=ctiasia_twn
台视,https://php.2025225.xyz/smart.php?id=ttv_taiwan
台视新闻,https://php.2025225.xyz/smart.php?id=ttvnews_twn
台视综合,https://php.2025225.xyz/smart.php?id=ttvzhonghe
中视,https://php.2025225.xyz/smart.php?id=zhongshihd_twn
中视新闻台,https://php.2025225.xyz/smart.php?id=zhongshinews_twn
民视,https://php.2025225.xyz/smart.php?id=ftvhd_taiwan
民视新闻台,https://php.2025225.xyz/smart.php?id=ftvnew_taiwan
民视台湾台,https://php.2025225.xyz/smart.php?id=ftvtaiwan_twn
华视,https://php.2025225.xyz/smart.php?id=ctshd_twn
公视,https://php.2025225.xyz/smart.php?id=ctv18_twn
公视2,https://php.2025225.xyz/smart.php?id=ctv2_twn
八大第一,https://php.2025225.xyz/smart.php?id=badafirst
八大综合,https://php.2025225.xyz/smart.php?id=badazhonghe
八大戏剧,https://php.2025225.xyz/smart.php?id=badadrama
八大娱乐,https://php.2025225.xyz/smart.php?id=badaentertain
HBO_HD,https://php.2025225.xyz/smart.php?id=hbohd_twn
HBO_HITS,https://php.2025225.xyz/smart.php?id=hbohit_twn
Hollywood Movies,https://php.2025225.xyz/smart.php?id=hollywoodmovies_twn
三立台湾,https://php.2025225.xyz/smart.php?id=sanlitaiwan
三立戏剧台,https://php.2025225.xyz/smart.php?id=sanlixiju_twn
三立综合台,https://php.2025225.xyz/smart.php?id=sanlizhonghe
三立都会台,https://php.2025225.xyz/smart.php?id=sanlidouhui
CINEMAX,https://php.2025225.xyz/smart.php?id=cinemax_twn
东森新闻,https://php.2025225.xyz/smart.php?id=ettvnews
东森综合,https://php.2025225.xyz/smart.php?id=ettvzhonghe
东森戏剧,https://php.2025225.xyz/smart.php?id=ettvdrama
东森电影,https://php.2025225.xyz/smart.php?id=ettvmovie
东森超视,https://php.2025225.xyz/smart.php?id=ettvsuper
东森财经新闻,https://php.2025225.xyz/smart.php?id=ettvcaijing_twn
寰宇财经,https://php.2025225.xyz/smart.php?id=huanyutaiwan_twn
寰宇新闻,https://php.2025225.xyz/smart.php?id=huanyuxinwen_twn
大爱一台,https://php.2025225.xyz/smart.php?id=daai_twn
大爱二台,https://php.2025225.xyz/smart.php?id=daai2_twn
非凡新闻台,https://php.2025225.xyz/smart.php?id=feifannews_twn
龙华戏剧 Lunghua Drama,https://php.2025225.xyz/smart.php?id=lunghuaxiju_twn
龙华经典,https://php.2025225.xyz/smart.php?id=lunghuajingdian_twn
龙华偶像,https://php.2025225.xyz/smart.php?id=lunghuaidol_twn
AXN,https://php.2025225.xyz/smart.php?id=axn_twn
靖天国际,https://php.2025225.xyz/smart.php?id=jingtianintl_twn
年代ERANewsHD,https://php.2025225.xyz/smart.php?id=niandainews_twn
纬来日本台,https://php.2025225.xyz/smart.php?id=videolandjapan
纬来电影台,https://php.2025225.xyz/smart.php?id=videolandmovie
纬来体育台,https://php.2025225.xyz/smart.php?id=videolandsport
纬来综合台,https://php.2025225.xyz/smart.php?id=videolandzonghe
纬来育乐台,https://php.2025225.xyz/smart.php?id=videolandyule
纬来精彩台,https://php.2025225.xyz/smart.php?id=videolandspecial_twn
好消息 2,https://php.2025225.xyz/smart.php?id=good2_twn
亚洲美食,https://php.2025225.xyz/smart.php?id=afc_twn
美食星球,https://php.2025225.xyz/smart.php?id=foodplanet_twn
亚洲旅游,https://php.2025225.xyz/smart.php?id=tlc_twn
阿里郎,https://php.2025225.xyz/smart.php?id=arirang_twn
博斯运动 1,https://php.2025225.xyz/smart.php?id=bosisport1_twn
博斯运动 2,https://php.2025225.xyz/smart.php?id=bosisport2_twn
博斯高球2,https://php.2025225.xyz/smart.php?id=bosigolf2_twn
博斯网球,https://php.2025225.xyz/smart.php?id=bositennis_twn
东森洋片,https://php.2025225.xyz/smart.php?id=ettvwestern
龙华洋片,https://php.2025225.xyz/smart.php?id=lunghuawestern_twn
博斯无限,https://php.2025225.xyz/smart.php?id=bosiunlimited_twn
MTVLive,https://php.2025225.xyz/smart.php?id=mtvhd_twn
龙详时代,https://php.2025225.xyz/smart.php?id=lungxiangtime_twn
eyelvyou,https://php.2025225.xyz/smart.php?id=eyetvtravel_twn
靖天卡通,https://php.2025225.xyz/smart.php?id=jingtiancartoon_twn
eyexiju,https://php.2025225.xyz/smart.php?id=eyetvxiju_twn
卫视中文台,https://php.2025225.xyz/smart.php?id=weishichinese_twn
东森幼幼,https://php.2025225.xyz/smart.php?id=yoyo_twn
卫视电影台,https://php.2025225.xyz/smart.php?id=weishimovie_twn
美亚电影,https://php.2025225.xyz/smart.php?id=meiyamovie_twn
爱尔达影剧台,https://php.2025225.xyz/smart.php?id=eltayingju_twn
爱尔达综合台,https://php.2025225.xyz/smart.php?id=eltazonghe_twn
星卫电影,https://php.2025225.xyz/smart.php?id=xingwei_movie
爱尔达影剧,https://php.2025225.xyz/smart.php?id=eltayingju_twn
亚洲旅游台,https://php.2025225.xyz/smart.php?id=asiatravel_twn
爱尔达体育2台,https://php.2025225.xyz/smart.php?id=eltasport2_twn
爱尔达体育3台,https://php.2025225.xyz/smart.php?id=eltasport3_twn

体育频道,#genre#
Astro Premier League 1,https://php.2025225.xyz/smart.php?id=go_assp1
Astro EPL 1 backup,https://php.2025225.xyz/smart.php?id=go_assp1x
Astro Premier League 2,https://php.2025225.xyz/smart.php?id=go_assp2
