央视频道,#genre#
CCTV1 综合,http://stv.alishare.cf/stv-nosession.php?id=cctv1
CCTV2 财经,http://stv.alishare.cf/stv-nosession.php?id=cctv2
CCTV3 综艺,http://stv.alishare.cf/stv-nosession.php?id=cctv3
CCTV4 中文国际,http://stv.alishare.cf/stv-nosession.php?id=cctv4
CCTV4 中文国际,http://stv.alishare.cf/stv-nosession.php?id=Cctv4
CCTV5 体育频道,http://stv.alishare.cf/stv-nosession.php?id=cctv5
CCTV5+ 体育赛事,http://stv.alishare.cf/stv-nosession.php?id=cctv5plus
CCTV6 电影,http://stv.alishare.cf/stv-nosession.php?id=cctv6
CCTV7 军事农业,http://stv.alishare.cf/stv-nosession.php?id=cctv7
CCTV8 电视剧,http://stv.alishare.cf/stv-nosession.php?id=cctv8
CCTV9 记录,http://stv.alishare.cf/stv-nosession.php?id=cctv9
CCTV10 科教,http://stv.alishare.cf/stv-nosession.php?id=cctv10
CCTV11 戏曲,http://stv.alishare.cf/stv-nosession.php?id=cctv11
CCTV12 社会与法,http://stv.alishare.cf/stv-nosession.php?id=cctv12
CCTV13 新闻频道,http://stv.alishare.cf/stv-nosession.php?id=cctv13
CCTV14 少儿,http://stv.alishare.cf/stv-nosession.php?id=cctv14
CCTV15 音乐,http://stv.alishare.cf/stv-nosession.php?id=cctv15
CGTN,http://stv.alishare.cf/stv-nosession.php?id=CGTN

卫视频道,#genre#
湖南卫视,http://stv.alishare.cf/stv-nosession.php?id=hunan_twn
浙江卫视,http://stv.alishare.cf/stv-nosession.php?id=zhejiang_twn
江苏卫视,http://stv.alishare.cf/stv-nosession.php?id=jiangsu_twn
东方卫视,http://stv.alishare.cf/stv-nosession.php?id=dongfangweishi_twn
北京卫视,http://stv.alishare.cf/stv-nosession.php?id=beijing
深圳卫视,http://stv.alishare.cf/stv-nosession.php?id=shenzhen
福建东南卫视,http://stv.alishare.cf/stv-nosession.php?id=fujian
广东南方卫视,http://stv.alishare.cf/stv-nosession.php?id=nanfang_twn
广东卫视,http://stv.alishare.cf/stv-nosession.php?id=guangdongweishi_twn
广东珠江台,http://stv.alishare.cf/stv-nosession.php?id=zhujiang
广西卫视,http://stv.alishare.cf/stv-nosession.php?id=guangxi
湖北卫视,http://stv.alishare.cf/stv-nosession.php?id=hubei
四川卫视,http://stv.alishare.cf/stv-nosession.php?id=sichuan_twn

香港频道,#genre#
凤凰卫视,http://stv.alishare.cf/stv-nosession.php?id=phoenixtv_
凤凰资讯,http://stv.alishare.cf/stv-nosession.php?id=phoenixinfo_
凤凰香港,http://stv.alishare.cf/stv-nosession.php?id=hkphoenix_twn
翡翠台,http://stv.alishare.cf/stv-nosession.php?id=jade_twn
翡翠台,http://stv.alishare.cf/stv-nosession.php?id=Jade_xue
TVB Jade,http://stv.alishare.cf/stv-nosession.php?id=Tvbjade
TVBS Asia,http://stv.alishare.cf/stv-nosession.php?id=Tvbasia
TVB News,http://stv.alishare.cf/stv-nosession.php?id=inews_twn
TVB Entertainment,http://stv.alishare.cf/stv-nosession.php?id=Tvbentertainment
TVB Classic,http://stv.alishare.cf/stv-nosession.php?id=Tvbclassic
TVBJ2,http://stv.alishare.cf/stv-nosession.php?id=j2_twn
TVB明珠,http://stv.alishare.cf/stv-nosession.php?id=pearl_twn
TVB翡翠,http://stv.alishare.cf/stv-nosession.php?id=jade_mike Indian
HGTV,http://stv.alishare.cf/stv-nosession.php?id=HGTV
RHK31,http://stv.alishare.cf/stv-nosession.php?id=rhk31_twn
RHK32,http://stv.alishare.cf/stv-nosession.php?id=rhk32_twn
VIUTV1,http://stv.alishare.cf/stv-nosession.php?id=viu1_twn
VIUTV6,http://stv.alishare.cf/stv-nosession.php?id=viusix_twn

台湾频道,#genre#
公视,http://stv.alishare.cf/stv-nosession.php?id=ctv_taiwan
台视,http://stv.alishare.cf/stv-nosession.php?id=ttv_taiwan
中视,http://stv.alishare.cf/stv-nosession.php?id=zhongshi_twn
民视,http://stv.alishare.cf/stv-nosession.php?id=ftv_taiwan
华视,http://stv.alishare.cf/stv-nosession.php?id=cts_twn
大爱1台,http://stv.alishare.cf/stv-nosession.php?id=daai_twn
大爱2台,http://stv.alishare.cf/stv-nosession.php?id=catchplay_twn
TVBS,http://stv.alishare.cf/stv-nosession.php?id=tvbs
TVBS新闻,http://stv.alishare.cf/stv-nosession.php?id=tvbs_n
TVBS欢乐,http://stv.alishare.cf/stv-nosession.php?id=tvbshuanle_twn
年代新闻,http://stv.alishare.cf/stv-nosession.php?id=niandainews_twn
中天新闻,http://stv.alishare.cf/stv-nosession.php?id=ctinews
中天娱乐,http://stv.alishare.cf/stv-nosession.php?id=ctient
中天综合,http://stv.alishare.cf/stv-nosession.php?id=ctizhonghe
中天亚洲,http://stv.alishare.cf/stv-nosession.php?id=ctiasia_twn
台视新闻,http://stv.alishare.cf/stv-nosession.php?id=ttvnews_twn
中视新闻,http://stv.alishare.cf/stv-nosession.php?id=zhongshinews_twn
民视新闻,http://stv.alishare.cf/stv-nosession.php?id=ftvnew_taiwan
民视台湾,http://stv.alishare.cf/stv-nosession.php?id=ftvtaiwan_twn
八大第一,http://stv.alishare.cf/stv-nosession.php?id=badafirst
八大综合,http://stv.alishare.cf/stv-nosession.php?id=badazhonghe
八大戏剧,http://stv.alishare.cf/stv-nosession.php?id=badadrama
八大娱乐,http://stv.alishare.cf/stv-nosession.php?id=badaentertain
三立台湾,http://stv.alishare.cf/stv-nosession.php?id=sanlitaiwan
三立综合,http://stv.alishare.cf/stv-nosession.php?id=sanlizhonghe
三立戏剧,http://stv.alishare.cf/stv-nosession.php?id=sanlixiju_twn
三立新闻,http://stv.alishare.cf/stv-nosession.php?id=inews_twn
东森综合,http://stv.alishare.cf/stv-nosession.php?id=ettvzhonghe
东森戏剧,http://stv.alishare.cf/stv-nosession.php?id=ettvdrama
东森财经,http://stv.alishare.cf/stv-nosession.php?id=ettvcaijing_twn
东森电影,http://stv.alishare.cf/stv-nosession.php?id=ettvmovie
东森洋片,http://stv.alishare.cf/stv-nosession.php?id=ettvwestern
东森幼幼,http://stv.alishare.cf/stv-nosession.php?id=yoyo_twn
龙华洋片,http://stv.alishare.cf/stv-nosession.php?id=lunghuawestern_twn
龙祥时代,http://stv.alishare.cf/stv-nosession.php?id=lungxiangtime_twn
龙华戏剧,http://stv.alishare.cf/stv-nosession.php?id=lunghuaxiju_twn
龙华偶像,http://stv.alishare.cf/stv-nosession.php?id=lunghuaidol_twn
龙华卡通,http://stv.alishare.cf/stv-nosession.php?id=jingtiancartoon_twn
纬来日本台,http://stv.alishare.cf/stv-nosession.php?id=videolandjapan
纬来电影台,http://stv.alishare.cf/stv-nosession.php?id=videolandmovie
纬来体育台,http://stv.alishare.cf/stv-nosession.php?id=videolandsport
纬来综合台,http://stv.alishare.cf/stv-nosession.php?id=videolandzonghe
靖天国际,http://stv.alishare.cf/stv-nosession.php?id=jingtianintl_twn
探索亚洲,http://stv.alishare.cf/stv-nosession.php?id=discoverytwn_twn
卫视中文,http://stv.alishare.cf/stv-nosession.php?id=weishichinese_twn
美亚电影,http://stv.alishare.cf/stv-nosession.php?id=meiyamovie_twn
星卫电影,http://stv.alishare.cf/stv-nosession.php?id=xingwei_movie
旅游生活,http://stv.alishare.cf/stv-nosession.php?id=tlc_twn
亚洲旅游,http://stv.alishare.cf/stv-nosession.php?id=asiatravel_twn
亚洲美食,http://stv.alishare.cf/stv-nosession.php?id=afc_twn
美食星球,http://stv.alishare.cf/stv-nosession.php?id=foodplanet_twn
动物星球,http://stv.alishare.cf/stv-nosession.php?id=AnimalPlanet
动物星球1,http://stv.alishare.cf/stv-nosession.php?id=animalplanet_twn
博斯网球,http://stv.alishare.cf/stv-nosession.php?id=bositennis_twn
