央视频道,#genre#
CCTV1,http://27.46.65.4:17088/udp/239.0.1.3:8008
CCTV2,http://27.46.65.4:17088/udp/239.0.1.4:8084
CCTV3,http://27.46.65.4:17088/udp/239.0.1.177:6037
CCTV4,http://27.46.65.4:17088/udp/239.0.1.180:6040
CCTV5,http://27.46.65.4:17088/udp/239.0.1.175:6035
CCTV5,http://27.46.65.4:17088/udp/239.0.1.102:4120
CCTV5+,http://27.46.65.4:17088/udp/239.0.1.101:8004
CCTV6,http://27.46.65.4:17088/udp/239.0.1.176:6036
CCTV7,http://27.46.65.4:17088/udp/239.0.1.96:8104
CCTV8,http://27.46.65.4:17088/udp/239.0.1.174:6034
CCTV9,http://27.46.65.4:17088/udp/239.0.1.97:8112
CCTV10,http://27.46.65.4:17088/udp/239.0.1.98:8116
CCTV12,http://27.46.65.4:17088/udp/239.0.1.99:8124
CCTV14,http://27.46.65.4:17088/udp/239.0.1.100:8132

卫视频道,#genre#
广东卫视,http://27.46.65.4:17088/udp/239.0.1.1:5001
深圳卫视,http://27.46.65.4:17088/udp/239.0.1.84:8020
东方卫视,http://27.46.65.4:17088/udp/239.0.1.82:8032
北京卫视,http://27.46.65.4:17088/udp/239.0.1.83:8024
四川卫视,http://27.46.65.4:17088/udp/239.0.1.87:5095
天津卫视,http://27.46.65.4:17088/udp/239.0.1.89:1234
安徽卫视,http://27.46.65.4:17088/udp/239.0.1.81:8064
山东卫视,http://27.46.65.4:17088/udp/239.0.1.90:8052
江苏卫视,http://27.46.65.4:17088/udp/239.0.1.80:8028
浙江卫视,http://27.46.65.4:17088/udp/239.0.1.79:1234
湖北卫视,http://27.46.65.4:17088/udp/239.0.1.88:1234
湖南卫视,http://27.46.65.4:17088/udp/239.0.1.78:8012
辽宁卫视,http://27.46.65.4:17088/udp/239.0.1.85:8056
重庆卫视,http://27.46.65.4:17088/udp/239.0.1.91:5097
吉林卫视,http://27.46.65.4:17088/udp/239.0.1.245:5183
江西卫视,http://27.46.65.4:17088/udp/239.0.1.244:5166
河北卫视,http://27.46.65.4:17088/udp/239.0.1.243:8072
东南卫视,http://27.46.65.4:17088/udp/239.0.1.241:5109
黑龙江卫视,http://27.46.65.4:17088/udp/239.0.1.86:8016
广西卫视,http://27.46.65.4:17088/udp/239.0.1.181:6041
金鹰纪实,http://27.46.65.4:17088/udp/239.0.1.92:5094

广东频道,#genre#
广东经济科教,http://27.46.65.4:17088/udp/239.0.1.94:5013
广东体育,http://27.46.65.4:17088/udp/239.0.1.95:5057
广东珠江,http://27.46.65.4:17088/udp/239.0.1.133:5172
广东珠,http://27.46.65.4:17088/udp/239.0.1.134:5173
广东4K,http://27.46.65.4:17088/udp/239.0.1.169:6030
河源公共,http://27.46.65.4:17088/udp/239.0.1.236:5225
